"name" "taxon" "taxon.lable" "G_norm_mean"
"322" "Piper divaricatum" "Plants" 2 0.967239932681506
"323" "Piper dotanum" "Plants" 2 0.967239932681506
"324" "Piper epigynium" "Plants" 2 0.967239932681506
"325" "Piper friedrichsthalii" "Plants" 2 0.967239932681506
"326" "Piper gaudichaudianum" "Plants" 2 0.967239932681506
"327" "Piper gibbosum" "Plants" 2 0.967239932681506
"328" "Piper glabratum" "Plants" 2 0.967239932681506
"329" "Piper glabrescens" "Plants" 2 0.967239932681506
"330" "Piper grande" "Plants" 2 0.967239932681506
"331" "Piper hieronymi" "Plants" 2 0.967239932681506
"332" "Piper hispidum" "Plants" 2 0.967239932681506
"333" "Piper hostmannianum" "Plants" 2 0.967239932681506
"334" "Piper jacquemontianum" "Plants" 2 0.967239932681506
"335" "Piper lanceifolium" "Plants" 2 0.967239932681506
"336" "Piper lapathifolium" "Plants" 2 0.967239932681506
"337" "Piper marginatum" "Plants" 2 0.967239932681506
"338" "Piper mollicomum" "Plants" 2 0.967239932681506
"339" "Piper multiplinervium" "Plants" 2 0.967239932681506
"340" "Piper nigrum" "Plants" 2 0.967239932681506
"341" "Piper obliquum" "Plants" 2 0.967239932681506
"342" "Piper peltatum" "Plants" 2 0.967239932681506
"343" "Piper phytolaccifolium" "Plants" 2 0.967239932681506
"344" "Piper pseudofuligineum" "Plants" 2 0.967239932681506
"345" "Piper reticulatum" "Plants" 2 0.967239932681506
"346" "Piper sancti-felicis" "Plants" 2 0.967239932681506
"347" "Piper sanctum" "Plants" 2 0.967239932681506
"348" "Piper trigonum" "Plants" 2 0.967239932681506
"349" "Piper tuberculatum" "Plants" 2 0.967239932681506
"350" "Piper tucumanum" "Plants" 2 0.967239932681506
"351" "Piper umbellatum" "Plants" 2 0.967239932681506
"352" "Pitcairnia brongniartiana" "Plants" 2 0.967239932681506
"353" "Plinia cauliflora" "Plants" 2 0.967239932681506
"354" "Poraqueiba sericea" "Plants" 2 0.967239932681506
"355" "Poulsenia armata" "Plants" 2 0.967239932681506
"356" "Pouteria campechiana" "Plants" 2 0.967239932681506
"357" "Pouteria multiflora" "Plants" 2 0.967239932681506
"358" "Pouteria reticulata" "Plants" 2 0.967239932681506
"359" "Pouteria sapota" "Plants" 2 0.967239932681506
"360" "Praecereus euchlorus smithianus" "Plants" 2 0.967239932681506
"361" "Protium araguense" "Plants" 2 0.967239932681506
"362" "Prunus persica" "Plants" 2 0.967239932681506
"363" "Pseudanamomis umbellulifera" "Plants" 2 0.967239932681506
"364" "Pseudobombax ellipticum" "Plants" 2 0.967239932681506
"365" "Pseudobombax grandiflorum" "Plants" 2 0.967239932681506
"366" "Pseudobombax septenatum" "Plants" 2 0.967239932681506
"367" "Pseudolmedia glabrata" "Plants" 2 0.967239932681506
"368" "Psidium guajava" "Plants" 2 0.967239932681506
"369" "Psidium guineense" "Plants" 2 0.967239932681506
"370" "Putranjiva roxburghii" "Plants" 2 0.967239932681506
"371" "Quararibea asterolepis" "Plants" 2 0.967239932681506
"372" "Quararibea cordata" "Plants" 2 0.967239932681506
"373" "Quararibea funebris" "Plants" 2 0.967239932681506
"374" "Quararibea ochrocalyx" "Plants" 2 0.967239932681506
"375" "Quararibea parvifolia" "Plants" 2 0.967239932681506
"376" "Randia armata" "Plants" 2 0.967239932681506
"377" "Rollinia exsucca" "Plants" 2 0.967239932681506
"378" "Rollinia mucosa" "Plants" 2 0.967239932681506
"379" "Roystonea borinquena" "Plants" 2 1.07048875993601
"380" "Roystonea oleracea" "Plants" 2 0.967239932681506
"381" "Rubus brasiliensis" "Plants" 2 0.967239932681506
"382" "Sacoglottis guianensis" "Plants" 2 0.967239932681506
"383" "Sapindus saponaria" "Plants" 2 0.967239932681506
"384" "Saurauia montana" "Plants" 2 0.967239932681506
"385" "Schlegelia paraensis" "Plants" 2 0.967239932681506
"386" "Schultesianthus venosus" "Plants" 2 0.967239932681506
"387" "Senna fruticosa" "Plants" 2 0.967239932681506
"388" "Senna undulata" "Plants" 2 0.967239932681506
"389" "Sideroxylon capiri" "Plants" 2 0.967239932681506
"390" "Sideroxylon foetidissimum" "Plants" 2 0.967239932681506
"391" "Sinningia brasiliensis" "Plants" 2 0.967239932681506
"392" "Siphocampylus sulfureus" "Plants" 2 0.967239932681506
"393" "Socratea exorrhiza" "Plants" 2 0.967239932681506
"394" "Solanum aligerum" "Plants" 2 0.967239932681506
"395" "Solanum americanum" "Plants" 2 0.967239932681506
"396" "Solanum aphyodendron" "Plants" 2 0.967239932681506
"397" "Solanum arboreum" "Plants" 2 0.967239932681506
"398" "Solanum argenteum" "Plants" 2 0.967239932681506
"399" "Solanum asperolanatum" "Plants" 2 0.967239932681506
"400" "Solanum asperum" "Plants" 2 0.967239932681506
"401" "Solanum caavurana" "Plants" 2 0.967239932681506
"402" "Solanum cinnamomeum" "Plants" 2 0.967239932681506
"403" "Solanum confusum" "Plants" 2 0.967239932681506
"404" "Solanum erianthum" "Plants" 2 0.967239932681506
"405" "Solanum grandiflorum" "Plants" 2 0.967239932681506
"406" "Solanum granuloso-leprosum" "Plants" 2 0.967239932681506
"407" "Solanum hayesii" "Plants" 2 0.967239932681506
"408" "Solanum hazenii" "Plants" 2 0.967239932681506
"409" "Solanum hirtum" "Plants" 2 0.967239932681506
"410" "Solanum jamaicense" "Plants" 2 0.967239932681506
"411" "Solanum lanceolatum" "Plants" 2 0.967239932681506
"412" "Solanum leucocarpon" "Plants" 2 0.967239932681506
"413" "Solanum megalochiton" "Plants" 2 0.967239932681506
"414" "Solanum nigricans" "Plants" 2 0.967239932681506
"415" "Solanum nudum" "Plants" 2 0.967239932681506
"416" "Solanum ochraceo-ferrugineum" "Plants" 2 0.967239932681506
"417" "Solanum paniculatum" "Plants" 2 0.967239932681506
"418" "Solanum paranense" "Plants" 2 0.967239932681506
"419" "Solanum pseudocapsicum" "Plants" 2 0.967239932681506
"420" "Solanum pseudoquina" "Plants" 2 0.967239932681506
"421" "Solanum quitoense" "Plants" 2 0.967239932681506
"422" "Solanum riparium" "Plants" 2 0.967239932681506
"423" "Solanum rovirosanum" "Plants" 2 0.967239932681506
"424" "Solanum rudepannum" "Plants" 2 0.967239932681506
"425" "Solanum rufescens" "Plants" 2 0.967239932681506
"426" "Solanum rugosum" "Plants" 2 0.967239932681506
"427" "Solanum salviaefolium" "Plants" 2 0.967239932681506
"428" "Solanum sanctae-catharinae" "Plants" 2 0.967239932681506
"429" "Solanum scuticum" "Plants" 2 0.967239932681506
"430" "Solanum subinerme" "Plants" 2 0.967239932681506
"431" "Solanum subsylvestre" "Plants" 2 0.967239932681506
"432" "Solanum swartzianum" "Plants" 2 0.967239932681506
"433" "Solanum symmetricum" "Plants" 2 0.967239932681506
"434" "Solanum tenuispinum" "Plants" 2 0.967239932681506
"435" "Solanum torvum" "Plants" 2 0.967239932681506
"436" "Solanum trichoneuron" "Plants" 2 0.967239932681506
"437" "Solanum umbellatum" "Plants" 2 0.967239932681506
"438" "Solanum variabile" "Plants" 2 0.967239932681506
"439" "Solanum wrightii" "Plants" 2 0.967239932681506
"440" "Souroubea guianensis" "Plants" 2 0.967239932681506
"441" "Spathodea campanulata" "Plants" 2 0.967239932681506
"442" "Spondias dulcis" "Plants" 2 0.967239932681506
"443" "Spondias mombin" "Plants" 2 0.967239932681506
"444" "Spondias radlkoferi" "Plants" 2 0.967239932681506
"445" "Stenocereus griseus" "Plants" 2 0.989898555725671
"446" "Stenocereus queretaroensis" "Plants" 2 0.967239932681506
"447" "Stenocereus stellatus" "Plants" 2 0.967239932681506
"448" "Stenocereus thurberi" "Plants" 2 0.967239932681506
"449" "Syagrus romanzoffiana" "Plants" 2 0.967239932681506
"450" "Syzygium cumini" "Plants" 2 0.967239932681506
"451" "Syzygium jambos" "Plants" 2 1.48613794196079
"452" "Syzygium malaccense" "Plants" 2 0.967239932681506
"453" "Terminalia catappa" "Plants" 2 0.967239932681506
"454" "Tetrastylis ovalis" "Plants" 2 0.967239932681506
"455" "Thespesia populnea" "Plants" 2 0.967239932681506
"456" "Thoracocarpus bissectus" "Plants" 2 0.967239932681506
"457" "Thunbergia grandiflora" "Plants" 2 0.967239932681506
